id,type,readonly,group,name
0,8,0,radiotest,channel
1,0,0,radiotest,power
2,8,0,radiotest,contwave
3,8,0,activeMarker,front
4,8,0,activeMarker,back
5,8,0,activeMarker,left
6,8,0,activeMarker,right
7,8,0,activeMarker,mode
8,8,0,activeMarker,poll
9,8,1,deck,bcActiveMarker
10,8,1,deck,bcAI
11,8,1,deck,bcBuzzer
12,8,1,deck,bcFlow
13,8,1,deck,bcFlow2
14,8,1,deck,bcLedRing
15,8,1,deck,bcLighthouse4
16,8,1,deck,bcDWM1000
17,8,1,deck,bcLoco
18,8,1,deck,bcMultiranger
19,8,1,deck,bcOA
20,8,1,deck,bcUSD
21,8,1,deck,bcZRanger
22,8,1,deck,bcZRanger2
23,8,0,motion,disable
24,8,0,motion,adaptive
25,6,0,motion,flowStdFixed
26,8,0,ring,effect
27,10,1,ring,neffect
28,8,0,ring,solidRed
29,8,0,ring,solidGreen
30,8,0,ring,solidBlue
31,8,0,ring,headlightEnable
32,6,0,ring,emptyCharge
33,6,0,ring,fullCharge
34,10,0,ring,fadeColor
35,6,0,ring,fadeTime
36,8,0,system,highlight
37,8,0,system,storageStats
38,8,0,system,storageReformat
39,8,0,system,taskDump
40,0,1,system,selftestPassed
41,8,0,system,assertInfo
42,8,0,system,testLogParam
43,8,0,system,doAssert
44,8,0,loco,mode
45,6,0,tdoa2,stddev
46,6,0,tdoa3,stddev
47,9,0,multiranger,filterMask
48,8,1,usd,canLog
49,8,0,usd,logging
50,8,0,led,bitmask
51,8,0,motorPowerSet,enable
52,9,0,motorPowerSet,m1
53,9,0,motorPowerSet,m2
54,9,0,motorPowerSet,m3
55,9,0,motorPowerSet,m4
56,6,0,pm,lowVoltage
57,6,0,pm,criticalLowVoltage
58,8,1,imu_sensors,BMP3XX
59,6,0,imu_sensors,imuPhi
60,6,0,imu_sensors,imuTheta
61,6,0,imu_sensors,imuPsi
62,8,0,syslink,probe
63,8,0,usec,reset
64,8,0,colAv,enable
65,6,0,colAv,ellipsoidX
66,6,0,colAv,ellipsoidY
67,6,0,colAv,ellipsoidZ
68,6,0,colAv,bboxMinX
69,6,0,colAv,bboxMinY
70,6,0,colAv,bboxMinZ
71,6,0,colAv,bboxMaxX
72,6,0,colAv,bboxMaxY
73,6,0,colAv,bboxMaxZ
74,6,0,colAv,horizon
75,6,0,colAv,maxSpeed
76,6,0,colAv,sidestepThrsh
77,2,0,colAv,maxPeerLocAge
78,6,0,colAv,vorTol
79,2,0,colAv,vorIters
80,8,0,commander,enHighLevel
81,6,0,cppm,rateRoll
82,6,0,cppm,ratePitch
83,6,0,cppm,angPitch
84,6,0,cppm,angRoll
85,6,0,cppm,rateYaw
86,6,0,hlCommander,vtoff
87,6,0,hlCommander,vland
88,8,0,hlCommander,groupmask
89,8,0,flightmode,althold
90,8,0,flightmode,poshold
91,8,0,flightmode,posSet
92,8,0,flightmode,yawMode
93,8,0,flightmode,stabModeRoll
94,8,0,flightmode,stabModePitch
95,8,0,flightmode,stabModeYaw
96,8,0,locSrv,enRangeStreamFP32
97,8,0,locSrv,enLhAngleStream
98,6,0,locSrv,extPosStdDev
99,6,0,locSrv,extQuatStdDev
100,9,0,crtpsrv,echoDelay
101,8,0,health,startPropTest
102,8,0,health,startBatTest
103,6,0,health,propTestThreshold
104,9,0,health,propTestPWMRatio
105,9,0,health,batTestPWMRatio
106,6,0,kalman,maxPos
107,6,0,kalman,maxVel
108,8,0,kalman,resetEstimation
109,8,0,kalman,robustTdoa
110,8,0,kalman,robustTwr
111,6,0,kalman,pNAcc_xy
112,6,0,kalman,pNAcc_z
113,6,0,kalman,pNVel
114,6,0,kalman,pNPos
115,6,0,kalman,pNAtt
116,6,0,kalman,mNBaro
117,6,0,kalman,mNGyro_rollpitch
118,6,0,kalman,mNGyro_yaw
119,6,0,kalman,initialX
120,6,0,kalman,initialY
121,6,0,kalman,initialZ
122,6,0,kalman,initialYaw
123,8,0,memTst,resetW
124,10,0,powerDist,idleThrust
125,6,0,sensfusion6,kp
126,6,0,sensfusion6,ki
127,6,0,sensfusion6,baseZacc
128,8,0,sound,effect
129,10,1,sound,neffect
130,9,0,sound,freq
131,8,0,stabilizer,estimator
132,8,0,stabilizer,controller
133,8,0,stabilizer,stop
134,8,0,supervisor,infdmp
135,9,0,supervisor,prefltTimeout
136,9,0,supervisor,landedTimeout
137,8,0,supervisor,tmblChckEn
138,9,1,cpu,flash
139,10,1,cpu,id0
140,10,1,cpu,id1
141,10,1,cpu,id2
142,8,0,tdoaEngine,logId
143,8,0,tdoaEngine,logOthrId
144,8,0,tdoaEngine,matchAlgo
145,8,0,lighthouse,method
146,8,0,lighthouse,bsCalibReset
147,8,0,lighthouse,systemType
148,9,1,lighthouse,bsAvailable
149,6,0,lighthouse,sweepStd
150,6,0,lighthouse,sweepStd2
151,8,0,lighthouse,enLhRawStream
152,9,0,lighthouse,lh2maxRate
153,6,0,pid_attitude,roll_kp
154,6,0,pid_attitude,roll_ki
155,6,0,pid_attitude,roll_kd
156,6,0,pid_attitude,roll_kff
157,6,0,pid_attitude,pitch_kp
158,6,0,pid_attitude,pitch_ki
159,6,0,pid_attitude,pitch_kd
160,6,0,pid_attitude,pitch_kff
161,6,0,pid_attitude,yaw_kp
162,6,0,pid_attitude,yaw_ki
163,6,0,pid_attitude,yaw_kd
164,6,0,pid_attitude,yaw_kff
165,6,0,pid_attitude,yawMaxDelta
166,0,0,pid_attitude,attFiltEn
167,6,0,pid_attitude,attFiltCut
168,6,0,pid_rate,roll_kp
169,6,0,pid_rate,roll_ki
170,6,0,pid_rate,roll_kd
171,6,0,pid_rate,roll_kff
172,6,0,pid_rate,pitch_kp
173,6,0,pid_rate,pitch_ki
174,6,0,pid_rate,pitch_kd
175,6,0,pid_rate,pitch_kff
176,6,0,pid_rate,yaw_kp
177,6,0,pid_rate,yaw_ki
178,6,0,pid_rate,yaw_kd
179,6,0,pid_rate,yaw_kff
180,0,0,pid_rate,rateFiltEn
181,6,0,pid_rate,omxFiltCut
182,6,0,pid_rate,omyFiltCut
183,6,0,pid_rate,omzFiltCut
184,6,0,ctrlINDI,thrust_threshold
185,6,0,ctrlINDI,bound_ctrl_input
186,6,0,ctrlINDI,g1_p
187,6,0,ctrlINDI,g1_q
188,6,0,ctrlINDI,g1_r
189,6,0,ctrlINDI,g2
190,6,0,ctrlINDI,ref_err_p
191,6,0,ctrlINDI,ref_err_q
192,6,0,ctrlINDI,ref_err_r
193,6,0,ctrlINDI,ref_rate_p
194,6,0,ctrlINDI,ref_rate_q
195,6,0,ctrlINDI,ref_rate_r
196,6,0,ctrlINDI,act_dyn_p
197,6,0,ctrlINDI,act_dyn_q
198,6,0,ctrlINDI,act_dyn_r
199,6,0,ctrlINDI,filt_cutoff
200,6,0,ctrlINDI,filt_cutoff_r
201,8,0,ctrlINDI,outerLoopActive
202,6,0,ctrlMel,kp_xy
203,6,0,ctrlMel,kd_xy
204,6,0,ctrlMel,ki_xy
205,6,0,ctrlMel,i_range_xy
206,6,0,ctrlMel,kp_z
207,6,0,ctrlMel,kd_z
208,6,0,ctrlMel,ki_z
209,6,0,ctrlMel,i_range_z
210,6,0,ctrlMel,mass
211,6,0,ctrlMel,massThrust
212,6,0,ctrlMel,kR_xy
213,6,0,ctrlMel,kR_z
214,6,0,ctrlMel,kw_xy
215,6,0,ctrlMel,kw_z
216,6,0,ctrlMel,ki_m_xy
217,6,0,ctrlMel,ki_m_z
218,6,0,ctrlMel,kd_omega_rp
219,6,0,ctrlMel,i_range_m_xy
220,6,0,ctrlMel,i_range_m_z
221,6,0,ctrlAtt,tau_xy
222,6,0,ctrlAtt,zeta_xy
223,6,0,ctrlAtt,tau_z
224,6,0,ctrlAtt,zeta_z
225,6,0,ctrlAtt,tau_rp
226,6,0,ctrlAtt,mixing_factor
227,6,0,ctrlAtt,coll_fairness
228,6,0,posCtrlIndi,K_xi_x
229,6,0,posCtrlIndi,K_xi_y
230,6,0,posCtrlIndi,K_xi_z
231,6,0,posCtrlIndi,K_dxi_x
232,6,0,posCtrlIndi,K_dxi_y
233,6,0,posCtrlIndi,K_dxi_z
234,6,0,posCtrlIndi,pq_clamping
235,6,0,posCtlPid,xKp
236,6,0,posCtlPid,xKi
237,6,0,posCtlPid,xKd
238,6,0,posCtlPid,xKff
239,6,0,posCtlPid,yKp
240,6,0,posCtlPid,yKi
241,6,0,posCtlPid,yKd
242,6,0,posCtlPid,yKff
243,6,0,posCtlPid,zKp
244,6,0,posCtlPid,zKi
245,6,0,posCtlPid,zKd
246,6,0,posCtlPid,zKff
247,9,0,posCtlPid,thrustBase
248,9,0,posCtlPid,thrustMin
249,6,0,posCtlPid,rLimit
250,6,0,posCtlPid,pLimit
251,6,0,posCtlPid,xVelMax
252,6,0,posCtlPid,yVelMax
253,6,0,posCtlPid,zVelMax
254,6,0,velCtlPid,vxKp
255,6,0,velCtlPid,vxKi
256,6,0,velCtlPid,vxKd
257,6,0,velCtlPid,vxKFF
258,6,0,velCtlPid,vyKp
259,6,0,velCtlPid,vyKi
260,6,0,velCtlPid,vyKd
261,6,0,velCtlPid,vyKFF
262,6,0,velCtlPid,vzKp
263,6,0,velCtlPid,vzKi
264,6,0,velCtlPid,vzKd
265,6,0,velCtlPid,vzKFF
266,6,0,ctrlLee,KR_x
267,6,0,ctrlLee,KR_y
268,6,0,ctrlLee,KR_z
269,6,0,ctrlLee,KI_x
270,6,0,ctrlLee,KI_y
271,6,0,ctrlLee,KI_z
272,6,0,ctrlLee,Kw_x
273,6,0,ctrlLee,Kw_y
274,6,0,ctrlLee,Kw_z
275,6,0,ctrlLee,J_x
276,6,0,ctrlLee,J_y
277,6,0,ctrlLee,J_z
278,6,0,ctrlLee,Kpos_Px
279,6,0,ctrlLee,Kpos_Py
280,6,0,ctrlLee,Kpos_Pz
281,6,0,ctrlLee,Kpos_P_limit
282,6,0,ctrlLee,Kpos_Dx
283,6,0,ctrlLee,Kpos_Dy
284,6,0,ctrlLee,Kpos_Dz
285,6,0,ctrlLee,Kpos_D_limit
286,6,0,ctrlLee,Kpos_Ix
287,6,0,ctrlLee,Kpos_Iy
288,6,0,ctrlLee,Kpos_Iz
289,6,0,ctrlLee,Kpos_I_limit
290,6,0,ctrlLee,mass
291,6,0,posEstAlt,estAlphaAsl
292,6,0,posEstAlt,estAlphaZr
293,6,0,posEstAlt,velFactor
294,6,0,posEstAlt,velZAlpha
295,6,0,posEstAlt,vAccDeadband
296,10,1,firmware,revision0
297,9,1,firmware,revision1
298,8,1,firmware,modified
